dataset_index,unrelated_index,shuffled_blur_index,paired_clean_blur__positive_jaccard,paired_clean_blur__weighted_jaccard,paired_clean_blur__cosine_similarity,paired_clean_blur__top16_jaccard,paired_clean_blur__top32_jaccard,paired_clean_blur__top64_jaccard,paired_clean_blur__top128_jaccard,unrelated_clean_clean__positive_jaccard,unrelated_clean_clean__weighted_jaccard,unrelated_clean_clean__cosine_similarity,unrelated_clean_clean__top16_jaccard,unrelated_clean_clean__top32_jaccard,unrelated_clean_clean__top64_jaccard,unrelated_clean_clean__top128_jaccard,unrelated_clean_blur__positive_jaccard,unrelated_clean_blur__weighted_jaccard,unrelated_clean_blur__cosine_similarity,unrelated_clean_blur__top16_jaccard,unrelated_clean_blur__top32_jaccard,unrelated_clean_blur__top64_jaccard,unrelated_clean_blur__top128_jaccard,shuffled_clean_blur__positive_jaccard,shuffled_clean_blur__weighted_jaccard,shuffled_clean_blur__cosine_similarity,shuffled_clean_blur__top16_jaccard,shuffled_clean_blur__top32_jaccard,shuffled_clean_blur__top64_jaccard,shuffled_clean_blur__top128_jaccard
521,172,878,0.9867295026779175,0.7532152533531189,0.9195312261581421,0.30290135741233826,0.30588021874427795,0.3277376890182495,0.3638205826282501,0.9780780673027039,0.6091181039810181,0.8080180287361145,0.047297533601522446,0.049000710248947144,0.06224435567855835,0.09811742603778839,0.9812098741531372,0.6135867238044739,0.8158107995986938,0.0540071576833725,0.05150105431675911,0.06176120415329933,0.09438121318817139,0.9844111204147339,0.6020534038543701,0.8165664672851562,0.027467727661132812,0.03201007470488548,0.046643149107694626,0.07987500727176666
522,124,474,0.9875333905220032,0.7247998118400574,0.9107714295387268,0.2817755937576294,0.26654425263404846,0.2866455018520355,0.3206157684326172,0.9815100431442261,0.6105866432189941,0.8051893711090088,0.02792113646864891,0.0357663556933403,0.05246568098664284,0.08731117844581604,0.9846165776252747,0.6165024042129517,0.8181215524673462,0.0298342015594244,0.03782375156879425,0.055560462176799774,0.08795461803674698,0.9787198901176453,0.601973295211792,0.7951415777206421,0.0400787889957428,0.04230664670467377,0.055675528943538666,0.09010026603937149
523,908,180,0.9882678389549255,0.7907933592796326,0.938113808631897,0.3586246967315674,0.40604427456855774,0.4387490451335907,0.46318209171295166,0.9747109413146973,0.564325213432312,0.7902608513832092,0.035577740520238876,0.037760306149721146,0.05426284298300743,0.09645052999258041,0.9734269380569458,0.5685503482818604,0.7839134335517883,0.03639523312449455,0.03896336629986763,0.05542166158556938,0.08965009450912476,0.9686827063560486,0.5780310034751892,0.7688548564910889,0.04472211003303528,0.04226449131965637,0.0532134547829628,0.09225646406412125
524,511,353,0.9922849535942078,0.7673362493515015,0.9489231109619141,0.28592386841773987,0.31486988067626953,0.3465992510318756,0.39063045382499695,0.9836814999580383,0.5841938853263855,0.8091009855270386,0.05625567212700844,0.06368418037891388,0.07468815892934799,0.10217425227165222,0.9809736609458923,0.5763255953788757,0.803088903427124,0.05407074838876724,0.05965781584382057,0.07472041994333267,0.10187026858329773,0.9832810163497925,0.5947275757789612,0.8268941640853882,0.040568768978118896,0.04346202686429024,0.05961989611387253,0.09577403217554092
525,718,214,0.9857524633407593,0.743562638759613,0.9207054376602173,0.3073750138282776,0.32383406162261963,0.3272058963775635,0.36413803696632385,0.9795913696289062,0.5996768474578857,0.7980228066444397,0.029106199741363525,0.0388331413269043,0.05170736461877823,0.08840667456388474,0.9826909303665161,0.6018808484077454,0.8113611936569214,0.031553611159324646,0.03813996911048889,0.05157928913831711,0.08682992309331894,0.9777950048446655,0.5746020078659058,0.8107970952987671,0.04612795263528824,0.05177157744765282,0.0659157857298851,0.10124371945858002
526,836,26,0.9886231422424316,0.7491654753684998,0.9194309115409851,0.3279009759426117,0.34816935658454895,0.3677687644958496,0.40409037470817566,0.9819678068161011,0.5782483816146851,0.8021497130393982,0.02656807005405426,0.027458565309643745,0.0413653701543808,0.08302877098321915,0.9836769700050354,0.5775831937789917,0.8066535592079163,0.032561831176280975,0.035051364451646805,0.04684097692370415,0.08190789073705673,0.9851268529891968,0.5919193029403687,0.8002314567565918,0.034414466470479965,0.036457519978284836,0.05317264422774315,0.09213931113481522
527,240,92,0.9921039342880249,0.7513542771339417,0.9390694499015808,0.337619423866272,0.31759533286094666,0.3053702712059021,0.3409215211868286,0.9705153107643127,0.5707591772079468,0.7670832872390747,0.023316416889429092,0.032842960208654404,0.0508464053273201,0.08725526183843613,0.974795937538147,0.5563180446624756,0.7947143316268921,0.03794668987393379,0.04505884274840355,0.0574527345597744,0.0923152044415474,0.976446807384491,0.5953633189201355,0.8034238219261169,0.05150073394179344,0.06159088760614395,0.07266935706138611,0.10420160740613937
528,339,518,0.9920082092285156,0.7631051540374756,0.9391105771064758,0.4161747097969055,0.34606876969337463,0.3110797703266144,0.3432745635509491,0.9812958240509033,0.6282187104225159,0.8247025012969971,0.0786263570189476,0.06918472051620483,0.07386073470115662,0.1024123877286911,0.9831862449645996,0.6154096126556396,0.8291165828704834,0.0853295773267746,0.07436078041791916,0.0788617879152298,0.106105275452137,0.9813296794891357,0.6026986241340637,0.8219078183174133,0.08430726081132889,0.07108676433563232,0.07631294429302216,0.10820481181144714
529,710,74,0.9904050230979919,0.7439796924591064,0.9214508533477783,0.3313014805316925,0.3300507962703705,0.32901373505592346,0.3569801449775696,0.9869322180747986,0.6180955171585083,0.823352575302124,0.0441749133169651,0.041511937975883484,0.05354407802224159,0.08783899992704391,0.9871839284896851,0.6271805167198181,0.8292611241340637,0.0600840300321579,0.05610232427716255,0.06099274009466171,0.08999606221914291,0.9903931617736816,0.6428630352020264,0.847362756729126,0.07160194218158722,0.0662112608551979,0.0730421170592308,0.10385454446077347
530,691,794,0.994549572467804,0.7603678107261658,0.9447249174118042,0.3550516963005066,0.3361746668815613,0.31445348262786865,0.32804742455482483,0.9880803823471069,0.6311341524124146,0.8422297835350037,0.04617335647344589,0.0582270473241806,0.06773615628480911,0.09686620533466339,0.9854220151901245,0.6266649961471558,0.8345059752464294,0.05016307160258293,0.060846153646707535,0.07309073954820633,0.1054575964808464,0.974808394908905,0.5625870227813721,0.7791944146156311,0.04638395830988884,0.04940364882349968,0.061698056757450104,0.09205615520477295
